Institution	Code	Course	EOS	Mid
"ATHLONE IT"	AL032	Software Design (Games Development)                         	285	330
"ATHLONE IT"	AL033	Toxicology                                                  	240	330
"ATHLONE IT"	AL034	Software Design (Web Development)                           	285	340
"ATHLONE IT"	AL035	Construction Technology and Management                      	265	315
"ATHLONE IT"	AL050	Business                                                    	270	325
"ATHLONE IT"	AL051	Accounting                                                  	260	335
"ATHLONE IT"	AL052	Design (Visual Communications)                              	#465	765
"ATHLONE IT"	AL053	Pharmaceutical Sciences                                     	250	345
"ATHLONE IT"	AL054	Social Care Practice                                        	330	350
"ATHLONE IT"	AL055	Society and Communications                                  		
"ATHLONE IT"	AL057	Business and Law                                            	255	310
"ATHLONE IT"	AL058	Accounting and Law                                          	265	340
"ATHLONE IT"	AL110	General Nursing                                             	400	405
"ATHLONE IT"	AL111	Mature Applicants General Nursing                           	#225	230
"ATHLONE IT"	AL112	Psychiatric Nursing                                         	375	380
"ATHLONE IT"	AL113	Mature Applicants Psychiatric Nursing                       	#217	223
"ATHLONE IT"	AL837	Sports Science with Exercise Physiology                     	375	395
"CARLOW COLLEGE"	PC405	Citizenship and Community Studies                           	225	290
"CARLOW COLLEGE"	PC410	Humanities                                                  	280	310
"CARLOW COLLEGE"	PC411	English and History                                         	300	335
"IT CARLOW"	CW018	Business (Wexford campus)                                   	295	380
"IT CARLOW"	CW028	Early Childhood Education and Care (Wexford campus)         	280	305
"IT CARLOW"	CW038	Art (Wexford campus - Portfolio)                            	#700	700
"IT CARLOW"	CW058	Sustainable Architectural Technology (Wexford campus)       	255	280
"IT CARLOW"	CW068	Applied Social Studies - Social Care (Wexford campus)       	335	345
"IT CARLOW"	CW088	Visual Communications and Design (Wexford campus)           	300	330
"IT CARLOW"	CW108	Biosciences with Bioforensics or Biopharmaceuticals         	295	325
"IT CARLOW"	CW168	Environmental Science                                       	320	340
"IT CARLOW"	CW178	Sport Science                                               	415	430
"IT CARLOW"	CW188	Sports Rehabilitation and Athletic Therapy                  	445	465
"IT CARLOW"	CW208	Computer Games Development                                  	325	375
"IT CARLOW"	CW238	Software Development                                        	295	325
"IT CARLOW"	CW248	Computer Systems Management                                 	290	330
"IT CARLOW"	CW438	Construction - Quantity Surveying                           	250	265
"IT CARLOW"	CW448	Construction - Facilities and Energy Management             	300	330
"IT CARLOW"	CW468	Architectural Technology                                    	275	320
"IT CARLOW"	CW548	Mechanical Engineering                                      	315	360
"IT CARLOW"	CW558	Electronic Systems                                          	300	335
"IT CARLOW"	CW708	Law                                                         	305	335
"IT CARLOW"	CW728	Product Design Innovation                                   	305	335
"IT CARLOW"	CW748	Early Childhood Education and Care                          	320	340
"IT CARLOW"	CW758	Applied Social Studies - Social Care                        	350	365
"IT CARLOW"	CW768	Social and Community Studies                                	330	340
"IT CARLOW"	CW808	Media and Public Relations                                  	320	355
"IT CARLOW"	CW838	Business - Marketing                                        	295	360
"IT CARLOW"	CW908	Business                                                    	285	345
"IT CARLOW"	CW928	Business - Human Resource Management                        	285	315
"IT CARLOW"	CW938	Business with Law                                           	320	360
"IT CARLOW"	CW948	Accounting                                                  	315	380
"CORK IT"	CR105	Chemical and Biopharmaceutical Engineering                  	395	470
"CORK IT"	CR106	Software Development                                        	290	340
"CORK IT"	CR108	Mechanical Engineering                                      	345	440
"CORK IT"	CR109	Structural Engineering                                      	380	395
"CORK IT"	CR112	Multimedia                                                  	390	410
"CORK IT"	CR116	Software Development and Computer Networking                	290	325
"CORK IT"	CR121	Music at CIT Cork School of Music                           	**795	995
"CORK IT"	CR150	Business Information Systems                                	315	355
"CORK IT"	CR210	Applied Art, Ceramics (Crawford College of Art & Design)   	#650	905
"CORK IT"	CR220	Fine Art and Ceramic Design at CIT Crawford College of Art a	#700	865
"CORK IT"	CR305	Science (Common entry)                                      	310	340
"CORK IT"	CR310	IT Management                                               	290	320
"CORK IT"	CR312	Web Development                                             	295	330
"CORK IT"	CR320	Biomedical Science - Joint CIT and UCC programme            	495	515
"CORK IT"	CR325	Pharmaceutical Biotechnology                                	285	335
"CORK IT"	CR330	Herbal Science                                              	250	310
"CORK IT"	CR333	Nutrition and Health Science                                	320	355
"CORK IT"	CR340	Analytical Chemistry with Quality Assurance                 	290	350
"CORK IT"	CR360	Instrument Engineering                                      	320	350
"CORK IT"	CR365	Environmental Science and Sustainable Technology            	330	350
"CORK IT"	CR400	Accounting                                                  	355	385
"CORK IT"	CR420	Marketing                                                   	295	330
"CORK IT"	CR500	Engineering (Common entry)                                  	310	385
"CORK IT"	CR510	Sustainable Energy                                          	330	375
"CORK IT"	CR520	Biomedical Engineering                                      	330	435
"CORK IT"	CR560	Architectural Technology                                    	320	365
"CORK IT"	CR565	Interior Architecture                                       	300	345
"CORK IT"	CR570	Quantity Surveying                                          	285	305
"CORK IT"	CR572	Construction Management                                     	250	315
"CORK IT"	CR580	Electrical Power Systems                                    	310	355
"CORK IT"	CR590	Electronic Systems Engineering                              	300	360
"CORK IT"	CR600	Visual Communications                                       	#550	700
"CORK IT"	CR660	Tourism                                                     	260	310
"UNIVERSITY COLLEGE CORK"	CK101	Arts                                                        	345	395
"UNIVERSITY COLLEGE CORK"	CK102	Social Science                                              	385	410
"UNIVERSITY COLLEGE CORK"	CK103	Music                                                       	#375	405
"UNIVERSITY COLLEGE CORK"	CK104	Arts with Music                                             	#410	470
"UNIVERSITY COLLEGE CORK"	CK106	Applied Psychology                                          	500	525
"UNIVERSITY COLLEGE CORK"	CK111	Early Years and Childhood Studies                           	400	430
"UNIVERSITY COLLEGE CORK"	CK112	Drama and Theatre Studies                                   	#400	430
"UNIVERSITY COLLEGE CORK"	CK114	Social Science (Youth and Community Work) - Mature Applicant		
"UNIVERSITY COLLEGE CORK"	CK115	Social Work - Mature Applicants only                        		
"UNIVERSITY COLLEGE CORK"	CK116	Sports Studies and Physical Education                       	480	48
"UNIVERSITY COLLEGE CORK"	CK201	Commerce                                                    	420	450
"UNIVERSITY COLLEGE CORK"	CK202	Accounting                                                  	425	480
"UNIVERSITY COLLEGE CORK"	CK203	Business Information Systems                                	400	430
"UNIVERSITY COLLEGE CORK"	CK204	Finance                                                     	430	480
"UNIVERSITY COLLEGE CORK"	CK205	Commerce (International) with French                        	500	545
"UNIVERSITY COLLEGE CORK"	CK206	Commerce (International) with German                        	370	455
"UNIVERSITY COLLEGE CORK"	CK207	Commerce (International) with Italian                       	350	380
"UNIVERSITY COLLEGE CORK"	CK208	Commerce (International) with Hispanic Studies              	420	460
"UNIVERSITY COLLEGE CORK"	CK209	Commerce (International) with Irish                         	440	460
"UNIVERSITY COLLEGE CORK"	CK210	Government                                                  	335	365
"UNIVERSITY COLLEGE CORK"	CK211	Commerce (International) with Chinese Studies               	360	415
"UNIVERSITY COLLEGE CORK"	CK301	Law                                                         	480*	500
"UNIVERSITY COLLEGE CORK"	CK302	Law and French                                              	535	555
"UNIVERSITY COLLEGE CORK"	CK304	Law and Irish                                               	500	525
"UNIVERSITY COLLEGE CORK"	CK305	Law (Clinical)                                              	520*	530
"UNIVERSITY COLLEGE CORK"	CK306	Law (International)                                         	545	555
"UNIVERSITY COLLEGE CORK"	CK401	Computer Science                                            	330	390
"UNIVERSITY COLLEGE CORK"	CK402	Biological and Chemical Sciences                            	400	455
"UNIVERSITY COLLEGE CORK"	CK404	Environmental and Earth System Sciences                     	380	425
"UNIVERSITY COLLEGE CORK"	CK405	Genetics                                                    	460	485
"UNIVERSITY COLLEGE CORK"	CK406	Chemical Sciences                                           	360	395
"UNIVERSITY COLLEGE CORK"	CK407	Mathematical Sciences                                       	515	540
"UNIVERSITY COLLEGE CORK"	CK408	Physics and Astrophysics                                    	445	490
"UNIVERSITY COLLEGE CORK"	CK502	Food Marketing and Entrepreneurship                         	420	455
"UNIVERSITY COLLEGE CORK"	CK504	Nutritional Sciences                                        	490	510
