Institution	Code	Course	EOS	Mid
"ATHLONE IT"	AL802	Software Design (Games Development)                         	300	340
"ATHLONE IT"	AL803	Software Design (Web Development)                           	310	335
"ATHLONE IT"	AL805	Construction Technology and Management                      		
"ATHLONE IT"	AL830	General Nursing                                             	415*	430
"ATHLONE IT"	AL831	Mature Applicants General Nursing                           	233#	235
"ATHLONE IT"	AL832	Psychiatric Nursing                                         	395	405
"ATHLONE IT"	AL833	Mature Applicants Psychiatric Nursing                       	230#	234
"ATHLONE IT"	AL835	Audiology                                                   	405	440
"ATHLONE IT"	AL836	Health Science and Nutrition                                	375	400
"ATHLONE IT"	AL837	Sports Science with Exercise Physiology                      	360	385
"ATHLONE IT"	AL838	Biotechnology                                               	270	340
"ATHLONE IT"	AL839	Human and Animal Toxicology                                 	275	335
"ATHLONE IT"	AL840	Pharmaceutical Science                                      	260	305
"ATHLONE IT"	AL841	Sports Therapy with Rehabilitation                          	365	400
"ATHLONE IT"	AL850	Business                                                    	270	320
"ATHLONE IT"	AL851	Business and Law                                            	270	320
"ATHLONE IT"	AL852	Accounting                                                  	295	365
"ATHLONE IT"	AL853	Accounting and Law                                          		
"ATHLONE IT"	AL860	Social Care Practice                                        	340	360
"ATHLONE IT"	AL862	Visual Communications                                       	795#	905
"CARLOW COLLEGE"	PC405	Citizenship & Community Studies                             	280	300
"CARLOW COLLEGE"	PC410	Humanities                                                  	255	290
"CARLOW COLLEGE"	PC411	English and History                                         	270	310
"IT CARLOW"	CW018	Business - Wexford                                          	280	330
"IT CARLOW"	CW028	Early Childhood Education and Care - Wexford                	290	310
"IT CARLOW"	CW038	Art - Wexford - Portfolio                                   	700#	700
"IT CARLOW"	CW068	Applied Social Studies - Professional Social Care - Wexford 	350	355
"IT CARLOW"	CW088	Visual Communications and Design - Wexford                  	330	385
"IT CARLOW"	CW108	Biosciences with Bioforensics or Biopharmaceutials          	290	335
"IT CARLOW"	CW168	Environmental Science                                       	320	375
"IT CARLOW"	CW178	Sport Science                                               	400	420
"IT CARLOW"	CW188	Sports Rehabilitation and Athletic Therapy                  	450	465
"IT CARLOW"	CW208	Computer Games Development                                  	325	370
"IT CARLOW"	CW238	Software Development                                        	325	360
"IT CARLOW"	CW248	Computer Systems Management                                 	290	320
"IT CARLOW"	CW438	Construction - Quantity Surveying                           	285	295
"IT CARLOW"	CW448	Construction - Facilities and Energy Management             	280	310
"IT CARLOW"	CW468	Architectural Technology                                    	275	340
"IT CARLOW"	CW538	Pilot Studies (Portfolio)                                              		
"IT CARLOW"	CW548	Mechanical Engineering                                      	300	345
"IT CARLOW"	CW558	Electronic Systems                                          	300	350
"IT CARLOW"	CW708	Law                                                         	305	345
"IT CARLOW"	CW728	Product Design Innovation                                   	305	335
"IT CARLOW"	CW748	Early Childhood Education and Care                          	315	335
"IT CARLOW"	CW758	Applied Social Studies - Professional Social Care           	340	360
"IT CARLOW"	CW768	Social and Community Studies                                	300	330
"IT CARLOW"	CW808	Communications - Media and Public Relations                 	300	335
"IT CARLOW"	CW838	Business - Marketing                                        	285	320
"IT CARLOW"	CW858	Sports Management and Coaching(GAA Rugby Soccer) - Portfolio	700#	700
"IT CARLOW"	CW908	Business - Management                                       	280	325
"IT CARLOW"	CW928	Business - Human Resource Management                        	295	320
"IT CARLOW"	CW938	Business with Law                                           	315	360
"IT CARLOW"	CW948	Accounting                                                  	300	395
"CORK IT"	CR105	Chemical and Biopharmaceutical Engineering                  	335	470
"CORK IT"	CR106	Software Development                                        	300	345
"CORK IT"	CR108	Mechanical Engineering                                      	340	440
"CORK IT"	CR109	Structural Engineering                                      		
"CORK IT"	CR112	Multimedia                                                  	365	395
"CORK IT"	CR116	Software Development and Computer Networking                	305	325
"CORK IT"	CR121	Music - at CIT Cork School of Music                         	630**	970
"CORK IT"	CR150	Business Information Systems                                	315	360
"CORK IT"	CR210	Applied Art, Ceramics - at CIT Crawford College of Art and Design	685#	850
"CORK IT"	CR220	Fine Art - at CIT Crawford College of Art and Design        	600#	920
"CORK IT"	CR305	Science (Level 8 -  Common Entry)                           	320	360
"CORK IT"	CR310	IT Management                                               	290	320
"CORK IT"	CR312	Web Development                                             	295	340
"CORK IT"	CR320	Biomedical Science (Joint CIT & UCC programme)              	520*	535
"CORK IT"	CR325	Pharmaceutical Biotechnology                                	300	335
"CORK IT"	CR330	Herbal Science                                              	265	325
"CORK IT"	CR333	Nutrition and Health Science                                	340	370
