Institution	Code	Course	EOS	Mid
"ATHLONE IT"	AL032	Software Design (Games Development)                         	265 (375v)	315
"ATHLONE IT"	AL033	Toxicology                                                  	280	345
"ATHLONE IT"	AL034	Software Design (Web Development)                           	270	300
"ATHLONE IT"	AL035	Construction Technology and Management                      	265	310
"ATHLONE IT"	AL050	Business                                                    	275	320
"ATHLONE IT"	AL051	Accounting                                                  	250	325
"ATHLONE IT"	AL052	Design (Visual Communications)                              	#635	820
"ATHLONE IT"	AL053	Pharmaceutical Sciences                                     		
"ATHLONE IT"	AL054	Social Care Practice                                        	340	360
"ATHLONE IT"	AL057	Business and Law                                            	250	330
"ATHLONE IT"	AL058	Accounting and Law                                          	255 (335v)	335
"ATHLONE IT"	AL110	General Nursing                                             	395*	425
"ATHLONE IT"	AL111	Mature Applicants General Nursing                           	#172	176
"ATHLONE IT"	AL112	Psychiatric Nursing                                         	370*	395
"ATHLONE IT"	AL113	Mature Applicants Psychiatric Nursing                       	#162*	166
"CARLOW COLLEGE"	PC405	Citizenship and Community Studies                           	240	300
"CARLOW COLLEGE"	PC410	Humanities                                                  	280	315
"CARLOW COLLEGE"	PC411	English & History                                           	330	350
"IT CARLOW"	CW018	Business (Wexford)                                          	290	320
"IT CARLOW"	CW028	Early Childhood Education and Care (Wexford)                	300	325
"IT CARLOW"	CW038	Art (Wexford)                                               	#700	700
"IT CARLOW"	CW058	Sustainable Architectural Technology (Wexford)              	310	330
"IT CARLOW"	CW068	Applied Social Studies - Social Care (Wexford)              	325	335
"IT CARLOW"	CW078	Economic and Social Studies (Wexford)                       	295	305
"IT CARLOW"	CW088	Visual Communications and Design (Wexford)                  	345	360
"IT CARLOW"	CW108	Biosciences with Bioforensics OR Biopharmaceuticals         	295	340
"IT CARLOW"	CW168	Environmental Science                                       	310	360
"IT CARLOW"	CW178	Sport Science                                               	410	420
"IT CARLOW"	CW188	Sports Rehabilitation and Athletic Therapy                  	440	460
"IT CARLOW"	CW208	Computer Games Development                                  	305	355
"IT CARLOW"	CW238	Software Development                                        	285	320
"IT CARLOW"	CW248	Computing Systems Management                                	290	330
"IT CARLOW"	CW438	Construction - Quantity Surveying                           	300	325
"IT CARLOW"	CW448	Construction - Facilities and Energy Management             	300	335
"IT CARLOW"	CW708	Law                                                         	320	350
"IT CARLOW"	CW728	Product Design Innovation                                   	300	330
"IT CARLOW"	CW748	Early Childhood Education and Care                          	335	350
"IT CARLOW"	CW758	Applied Social Studies - Social Care                        	350	360
"IT CARLOW"	CW768	Social and Community Studies                                	325	340
"IT CARLOW"	CW808	Communications and Public Relations                         	290	320
"IT CARLOW"	CW818	Accounting                                                  	310	360
"IT CARLOW"	CW838	Business - Marketing                                        	280	315
"IT CARLOW"	CW908	Business                                                    	300	330
"IT CARLOW"	CW928	Business - Human Resource Management                        	300	315
"IT CARLOW"	CW938	Business with Law                                           	300	340
"CORK IT"	CR105	Chemical and Biopharmaceutical Engineering                  	360	450
"CORK IT"	CR106	Software Development                                        	295	340
"CORK IT"	CR108	Mechanical Engineering                                      	370	425
"CORK IT"	CR109	Structural Engineering                                      	275	345
"CORK IT"	CR112	Multimedia                                                  	375	420
"CORK IT"	CR116	Software Development and Computer Networking                	300	360
"CORK IT"	CR121	Music at CIT - Cork School of Music                         	**855	100
"CORK IT"	CR150	Business Information Systems                                	310	335
"CORK IT"	CR220	Fine Art and Ceramic Design at CIT Crawford College	#750	895
"CORK IT"	CR305	Science (Level 8 -  Common Entry)                           	320	355
"CORK IT"	CR310	IT Management                                               	300	335
"CORK IT"	CR312	Web Development                                             	300	365
"CORK IT"	CR320	Biomedical Science - Joint CIT and UCC programme            	490	505
"CORK IT"	CR325	Pharmaceutical Biotechnology                                	320	370
"CORK IT"	CR330	Herbal Science                                              	300	330
"CORK IT"	CR333	Nutrition and Health Science                                	330	365
"CORK IT"	CR340	Analytical Chemistry with Quality Assurance                 	235	320
"CORK IT"	CR360	Instrument Engineering                                      	315	345
"CORK IT"	CR365	Environmental Science and Sustainable Technology            	330	355
"CORK IT"	CR400	Accounting                                                  	345	390
"CORK IT"	CR420	Marketing                                                   	290	325
"CORK IT"	CR500	Common Engineering Honours Degree Entry                     	350	400
"CORK IT"	CR510	Sustainable Energy                                          	390	415
"CORK IT"	CR520	Biomedical Engineering                                      	275	480
"CORK IT"	CR560	Architectural Technology                                    	370	390
"CORK IT"	CR565	Interior Architecture                                       	310	345
"CORK IT"	CR570	Quantity Surveying                                          	290	320
"CORK IT"	CR572	Construction Management                                     	280	330
"CORK IT"	CR590	Electronic Systems Engineering                              	300	345
"CORK IT"	CR600	Visual Communications                                       	#670	805
"CORK IT"	CR660	Tourism                                                     	280	310
"UNIVERSITY COLLEGE CORK"	CK101	Arts                                                        	350	395
"UNIVERSITY COLLEGE CORK"	CK102	Social Science                                              	390	415
"UNIVERSITY COLLEGE CORK"	CK103	Music                                                       	#370	430
"UNIVERSITY COLLEGE CORK"	CK104	Arts with Music                                             	#445	485
"UNIVERSITY COLLEGE CORK"	CK106	Applied Psychology                                          	500	515
"UNIVERSITY COLLEGE CORK"	CK111	Early Years and Childhood Studies                           	395	425
"UNIVERSITY COLLEGE CORK"	CK112	Drama and Theatre Studies                                   	#370	475
"UNIVERSITY COLLEGE CORK"	CK114	Social Science (Youth and Community Work) - Mature Applicants	#	
"UNIVERSITY COLLEGE CORK"	CK115	Social Work - Mature Applicants only                        	#	
"UNIVERSITY COLLEGE CORK"	CK116	Sports Studies and Physical Education                       	470*	490
"UNIVERSITY COLLEGE CORK"	CK201	Commerce                                                    	430	455
"UNIVERSITY COLLEGE CORK"	CK202	Accounting                                                  	470	505
"UNIVERSITY COLLEGE CORK"	CK203	Business Information Systems                                	380	410
"UNIVERSITY COLLEGE CORK"	CK204	Finance                                                     	435	465
"UNIVERSITY COLLEGE CORK"	CK205	Commerce (International) with French                        	445	475
"UNIVERSITY COLLEGE CORK"	CK206	Commerce (International) with German                        	405	455
"UNIVERSITY COLLEGE CORK"	CK207	Commerce (International) with Italian                       	345	410
"UNIVERSITY COLLEGE CORK"	CK208	Commerce (International) with Hispanic Studies              	350	425
"UNIVERSITY COLLEGE CORK"	CK209	Commerce (International) with Irish                         	450	470
"UNIVERSITY COLLEGE CORK"	CK210	Government                                                  	330	375
"UNIVERSITY COLLEGE CORK"	CK211	Commerce (International) with Chinese Studies               	330	435
"UNIVERSITY COLLEGE CORK"	CK301	Law                                                         	485	500
"UNIVERSITY COLLEGE CORK"	CK302	Law and French                                              	490	525
"UNIVERSITY COLLEGE CORK"	CK303	Law and German                                              	465	500
"UNIVERSITY COLLEGE CORK"	CK304	Law and Irish                                               	515	525
"UNIVERSITY COLLEGE CORK"	CK305	Law (Clinical)                                              	505	520
"UNIVERSITY COLLEGE CORK"	CK306	Law (International)                                         	535	560
"UNIVERSITY COLLEGE CORK"	CK401	Computer Science                                            	315	360
"UNIVERSITY COLLEGE CORK"	CK402	Biological and Chemical Sciences                            	375	440
"UNIVERSITY COLLEGE CORK"	CK404	Environmental and Earth System Sciences                     	370	425
"UNIVERSITY COLLEGE CORK"	CK405	Genetics                                                    	425	465
"UNIVERSITY COLLEGE CORK"	CK406	Chemical Sciences                                           	365	400
"UNIVERSITY COLLEGE CORK"	CK407	Mathematical Sciences                                       	500	550
"UNIVERSITY COLLEGE CORK"	CK408	Physics and Astrophysics                                    	430	505
"UNIVERSITY COLLEGE CORK"	CK502	Food Marketing and Entrepreneurship                         	390	415
"UNIVERSITY COLLEGE CORK"	CK504	Nutritional Sciences                                        	470	490
"UNIVERSITY COLLEGE CORK"	CK505	Food Science                                                	335	380
"UNIVERSITY COLLEGE CORK"	CK506	International Development and Food Policy                   	335	370
"UNIVERSITY COLLEGE CORK"	CK601	Process and Chemical Engineering                            	455	500
"UNIVERSITY COLLEGE CORK"	CK602	Civil and Environmental Engineering                         	430	495
"UNIVERSITY COLLEGE CORK"	CK603	Energy Engineering                                          	495	525
"UNIVERSITY COLLEGE CORK"	CK605	Electrical and Electronic Engineering                       	405	460
"UNIVERSITY COLLEGE CORK"	CK606	Architecture - Joint UCC and CIT programme                  	425*	470
"UNIVERSITY COLLEGE CORK"	CK701	Medicine - (Undergraduate Entry)                            	#725	
"UNIVERSITY COLLEGE CORK"	CK702	Dentistry                                                   	570*	580
"UNIVERSITY COLLEGE CORK"	CK703	Pharmacy                                                    	540	555
"UNIVERSITY COLLEGE CORK"	CK704	Occupational Therapy                                        	505	525
"UNIVERSITY COLLEGE CORK"	CK705	Speech and Language Therapy                                 	500	525
"UNIVERSITY COLLEGE CORK"	CK706	Public Health and Health Promotion                          	355	405
"UNIVERSITY COLLEGE CORK"	CK710	General Nursing                                             	440*	460
"UNIVERSITY COLLEGE CORK"	CK711	Mature Applicants General Nursing                           	#165	171
"UNIVERSITY COLLEGE CORK"	CK712	Children's and General Nursing (Integrated)                 	500	520
"UNIVERSITY COLLEGE CORK"	CK713	Mature Applicants Children's and General Nursing (Integrated)	#163	179
"UNIVERSITY COLLEGE CORK"	CK720	Psychiatric Nursing                                         	415	420
"UNIVERSITY COLLEGE CORK"	CK721	Mature Applicants Psychiatric Nursing                       	#163*	166
"UNIVERSITY COLLEGE CORK"	CK730	Intellectual Disability Nursing                             	405	415
"UNIVERSITY COLLEGE CORK"	CK731	Mature Applicants Intellectual Disability Nursing           	#161	166
"UNIVERSITY COLLEGE CORK"	CK740	Midwifery                                                   	435*	455
"UNIVERSITY COLLEGE CORK"	CK741	Mature Applicants Midwifery                                 	#171	173
"UNIVERSITY COLLEGE CORK"	CK791	Medicine - Graduate Entry                                   	#59*	607
"ALL HALLOWS"	AH001	Theology and Philosophy                                     	280	305
"ALL HALLOWS"	AH002	Theology and Psychology                                     	340	355
"ALL HALLOWS"	AH003	Theology and English Literature                             	340	345
"AMERICAN COLLEGE"	AC120	International Business                                      	305	340
