Institution	Code	Course	EOS	Mid
"Athlone Institute of Technology"	AL801	Software Design (Game Development or Cloud Computing)	300	340
"Athlone Institute of Technology"	AL810	Quantity Surveying	315	355
"Athlone Institute of Technology"	AL820	Mechanical and Polymer Engineering	295	340
"Athlone Institute of Technology"	AL830	General Nursing	425*	440
"Athlone Institute of Technology"	AL831	Mature Applicants General Nursing	#181	185
"Athlone Institute of Technology"	AL832	Psychiatric Nursing	375*	405
"Athlone Institute of Technology"	AL833	Mature Applicants Psychiatric Nursing	#169	173
"Athlone Institute of Technology"	AL836	Health Science with Nutrition	350	380
"Athlone Institute of Technology"	AL837	Sports Science with Exercise Physiology	360	385
"Athlone Institute of Technology"	AL838	Biotechnology	270	345
"Athlone Institute of Technology"	AL840	Pharmaceutical Science	255	290
"Athlone Institute of Technology"	AL841	Athletic and Rehabilitation Therapy	410	430
"Athlone Institute of Technology"	AL842	Bioveterinary Science	325	370
"Athlone Institute of Technology"	AL843	Physical Activity and Health	345	390
"Athlone Institute of Technology"	AL850	Business	300	365
"Athlone Institute of Technology"	AL851	Business and Law	300	345
"Athlone Institute of Technology"	AL852	Accounting (with optional placement)	290	335
"Athlone Institute of Technology"	AL854	Business Psychology	305	340
"Athlone Institute of Technology"	AL860	Social Care Practice	300	330
"Athlone Institute of Technology"	AL861	Animation and Illustration (Portfolio)	#565	835
"Carlow College"	PC405	Citizenship and Community Studies	225	300
"Carlow College"	PC410	Humanities	280	325
"Carlow College"	PC411	English and History	300	333
"Institute of Technology, Carlow"	CW008	Applied Humanities (Wexford)	#	
"Institute of Technology, Carlow"	CW018	Business (Wexford)	255	345
"Institute of Technology, Carlow"	CW028	Early Childhood Education and Care (Wexford)	265	315
"Institute of Technology, Carlow"	CW038	Art (Wexford - Portfolio)	#700	700
"Institute of Technology, Carlow"	CW068	Applied Social Studies (Professional Social Care - Wexford)	270	355
"Institute of Technology, Carlow"	CW078	Sustainable Farm Management and Agribusiness (Wexford)	320	360
"Institute of Technology, Carlow"	CW088	Visual Communications and Design (Wexford)	265	300
