Institution	Code	Course	EOS	Mid
"Athlone Institute of Technology"	AL801	Software Design (Game Development or Cloud Computing)	280	345
"Athlone Institute of Technology"	AL820	Mechanical and Polymer Engineering	315	355
"Athlone Institute of Technology"	AL830	General Nursing	420	435
"Athlone Institute of Technology"	AL831	Mature Applicants General Nursing	#176*	182
"Athlone Institute of Technology"	AL832	Psychiatric Nursing	390	400
"Athlone Institute of Technology"	AL833	Mature Applicants Psychiatric Nursing	#167	175
"Athlone Institute of Technology"	AL836	Health Science with Nutrition	365	390
"Athlone Institute of Technology"	AL837	Sports Science with Exercise Physiology	370	390
"Athlone Institute of Technology"	AL838	Biotechnology	285	340
"Athlone Institute of Technology"	AL840	Pharmaceutical Science	260	320
"Athlone Institute of Technology"	AL841	Athletic and Rehabilitation Therapy	400	425
"Athlone Institute of Technology"	AL842	Bioveterinary Science	325	385
"Athlone Institute of Technology"	AL850	Business	300	355
"Athlone Institute of Technology"	AL851	Business and Law	300	340
"Athlone Institute of Technology"	AL852	Accounting	305	380
"Athlone Institute of Technology"	AL854	Business Psychology	300	340
"Athlone Institute of Technology"	AL860	Social Care Practice	310	345
"Carlow College"	PC405	Citizenship and Community Studies	267	295
"Carlow College"	PC410	Humanities	183	320
"Carlow College"	PC411	English and History	270	320
"Institute of Technology, Carlow"	CW008	Applied Humanities (Wexford)	275	320
"Institute of Technology, Carlow"	CW018	Business (Options: Business or Digital Marketing - Wexford)	250	310
"Institute of Technology, Carlow"	CW028	Early Childhood Education and Care (Wexford)	260	310
"Institute of Technology, Carlow"	CW038	Art (Wexford) - Portfolio	#700	700
"Institute of Technology, Carlow"	CW068	Applied Social Studies (Professional Social Care - Wexford)	280	290
"Institute of Technology, Carlow"	CW088	Visual Communications and Design (Wexford)	250	335
"Institute of Technology, Carlow"	CW098	Culture and Heritage Studies (Wexford)	230	335
"Institute of Technology, Carlow"	CW108	Biosciences with Bioforensics or Biopharmaceuticals	300	365
"Institute of Technology, Carlow"	CW168	Environmental Science	320	370
"Institute of Technology, Carlow"	CW178	Sport Science	420	440
"Institute of Technology, Carlow"	CW188	Sports Rehabilitation and Athletic Therapy	445	470
"Institute of Technology, Carlow"	CW198	Strength and Conditioning	390	405
"Institute of Technology, Carlow"	CW208	Computer Games Development	315	375
"Institute of Technology, Carlow"	CW238	Software Development	320	375
"Institute of Technology, Carlow"	CW248	Computer Systems Management	305	335
"Institute of Technology, Carlow"	CW438	Quantity Surveying	260	305
"Institute of Technology, Carlow"	CW448	Facilities and Energy Management	255	295
"Institute of Technology, Carlow"	CW468	Architectural Technology	260	320
"Institute of Technology, Carlow"	CW478	Civil Engineering	340	380
"Institute of Technology, Carlow"	CW548	Mechanical Engineering	280	325
"Institute of Technology, Carlow"	CW558	Electronic Systems	290	335
"Institute of Technology, Carlow"	CW568	Aero Engineering	380	405
"Institute of Technology, Carlow"	CW578	TV and Media Production	365	395
"Institute of Technology, Carlow"	CW708	Law - LLB	290	330
"Institute of Technology, Carlow"	CW728	Product Design Innovation	300	335
"Institute of Technology, Carlow"	CW748	Early Childhood Education and Care	285	330
"Institute of Technology, Carlow"	CW758	Applied Social Studies (Professional Social Care)	300	340
"Institute of Technology, Carlow"	CW788	Youth and Community Work - Interview	700	700
"Institute of Technology, Carlow"	CW808	Media and Public Relations	270	335
"Institute of Technology, Carlow"	CW838	Business - Marketing	280	345
"Institute of Technology, Carlow"	CW858	Sport Management and Coaching (Options: GAA/Rugby/Soccer) - Portfolio	700	700
"Institute of Technology, Carlow"	CW908	Business - Management	290	345
"Institute of Technology, Carlow"	CW928	Business - Human Resource Management	280	350
"Institute of Technology, Carlow"	CW938	Business with Law	285	365
"Institute of Technology, Carlow"	CW948	Accounting	295	370
"Cork Institute of Technology"	CR105	Chemical and Biopharmaceutical Engineering	425	485
"Cork Institute of Technology"	CR106	Software Development	365	380
"Cork Institute of Technology"	CR108	Mechanical Engineering	415	470
"Cork Institute of Technology"	CR109	Structural Engineering	420	445
"Cork Institute of Technology"	CR112	Multimedia	370	400
"Cork Institute of Technology"	CR116	Software Development and Computer Networking	315	345
"Cork Institute of Technology"	CR121	Music at CIT Cork School of Music	#685	1005
"Cork Institute of Technology"	CR125	Popular Music: Electric Bass Guitar at CIT Cork School of Music	#779	
"Cork Institute of Technology"	CR126	Popular Music: Drums  at CIT Cork School of Music	#695	885
"Cork Institute of Technology"	CR127	Popular Music: Electric Guitar at CIT Cork School of Music	#625	895
"Cork Institute of Technology"	CR128	Popular Music: Keyboards  at CIT Cork School of Music	#1095	1135
"Cork Institute of Technology"	CR129	Popular Music: Voice at CIT Cork School of Music	#840	965
"Cork Institute of Technology"	CR150	Business Information Systems	355	400
"Cork Institute of Technology"	CR210	Contemporary Applied Art (Ceramic,Glass,Textiles) at CIT Crawford Colleg	#665	925
"Cork Institute of Technology"	CR220	Fine Art at CIT Crawford College of Art and Design	#515	975
"Cork Institute of Technology"	CR305	Physical Sciences (Common Entry)	325	345
"Cork Institute of Technology"	CR310	IT  Management	300	325
"Cork Institute of Technology"	CR312	Web Development	320	340
"Cork Institute of Technology"	CR320	Biomedical Science - Joint CIT and UCC programme	525*	550
"Cork Institute of Technology"	CR325	Pharmaceutical Biotechnology	350	395
"Cork Institute of Technology"	CR330	Herbal Science	330	375
"Cork Institute of Technology"	CR333	Nutrition and Health Science	375	410
"Cork Institute of Technology"	CR335	Common Entry Biological Sciences	390	410
"Cork Institute of Technology"	CR340	Analytical Chemistry with Quality Assurance	300	340
"Cork Institute of Technology"	CR360	Instrument Engineering	300	380
"Cork Institute of Technology"	CR365	Environmental Science and Sustainable Technology	300	350
"Cork Institute of Technology"	CR400	Accounting	310	380
"Cork Institute of Technology"	CR420	Marketing	305	340
"Cork Institute of Technology"	CR425	International Business with Language	290	395
"Cork Institute of Technology"	CR500	Engineering (Common Entry)	390	430
"Cork Institute of Technology"	CR510	Sustainable Energy Engineering	300	360
"Cork Institute of Technology"	CR520	Biomedical Engineering	435	505
"Cork Institute of Technology"	CR560	Architectural Technology	290	335
"Cork Institute of Technology"	CR565	Interior Architecture	300	360
"Cork Institute of Technology"	CR570	Quantity Surveying	285	335
"Cork Institute of Technology"	CR572	Construction Management	240	290
"Cork Institute of Technology"	CR580	Electrical Engineering	315	380
"Cork Institute of Technology"	CR590	Electronic Engineering	300	360
"Cork Institute of Technology"	CR600	Visual Communications	#485	830
"Cork Institute of Technology"	CR660	Tourism	265	315
"Cork Institute of Technology"	CR700	Theatre and Drama Studies at CIT Cork School of Music	#745	930
"University College Cork (NUI)"	CK101	Arts - 3 years	350	400
"University College Cork (NUI)"	CK102	Social Science	435	455
"University College Cork (NUI)"	CK104	Arts with Music-3 Years or 4 years(BMus or Intl Pathway)	#410	450
"University College Cork (NUI)"	CK105	Film and Screen Media - 3 years or 4 years (International Pathway)	450	480
"University College Cork (NUI)"	CK106	Applied Psychology	505	530
"University College Cork (NUI)"	CK107	Geography and Archaeology - 3 years or 4 years (International Pathway)	340	355
"University College Cork (NUI)"	CK108	Arts International - 4 years with subject groupings as CK101	475	510
"University College Cork (NUI)"	CK109	English - 3 years or 4 years (International Pathway)	410	435
"University College Cork (NUI)"	CK110	World Languages	495	535
"University College Cork (NUI)"	CK111	Early Years and Childhood Studies	390	415
"University College Cork (NUI)"	CK112	Drama and Theatre Studies - 3 years or 4 years (Intl Pathway)	#315	405
"University College Cork (NUI)"	CK113	Criminology - 3 years or 4 years (International Pathway)	430	465
"University College Cork (NUI)"	CK114	Social Science (Youth & Community Work) - Mature Applicants only	#	
"University College Cork (NUI)"	CK115	Social Work  - Mature Applicants only	#	
"University College Cork (NUI)"	CK116	Sports Studies and Physical Education	500	525
"University College Cork (NUI)"	CK117	Economics (through Transformational Learning) - 3 or 4 years (Intl Pathw	400	430
"University College Cork (NUI)"	CK118	Digital Humanities and IT - 3 or 4 years (Industry or Intl Pathway)	380	410
"University College Cork (NUI)"	CK201	Commerce	455	475
"University College Cork (NUI)"	CK202	Accounting	465	500
"University College Cork (NUI)"	CK203	Business Information Systems	445	480
"University College Cork (NUI)"	CK204	Finance	505	535
"University College Cork (NUI)"	CK205	Commerce (International) with French	480	510
"University College Cork (NUI)"	CK206	Commerce (International) with German	490	510
"University College Cork (NUI)"	CK207	Commerce (International) with Italian	415	430
"University College Cork (NUI)"	CK208	Commerce (International) with Hispanic Studies	440	470
"University College Cork (NUI)"	CK209	Commerce (International) with Irish	495	515
"University College Cork (NUI)"	CK210	Government	340	395
"University College Cork (NUI)"	CK211	Commerce (International) with Chinese Studies	415	440
"University College Cork (NUI)"	CK301	Law	490	505
"University College Cork (NUI)"	CK302	Law and French	530	550
"University College Cork (NUI)"	CK304	Law and Irish	510	535
"University College Cork (NUI)"	CK305	Law (Clinical)	525	540
"University College Cork (NUI)"	CK306	Law (International)	545	565
"University College Cork (NUI)"	CK401	Computer Science	440	490
"University College Cork (NUI)"	CK402	Biological and Chemical Sciences	470	505
"University College Cork (NUI)"	CK404	Biological, Earth and Environmental Sciences	435	460
"University College Cork (NUI)"	CK405	Genetics	455	485
"University College Cork (NUI)"	CK406	Chemical Sciences	445	490
"University College Cork (NUI)"	CK407	Mathematical Sciences	550	590
"University College Cork (NUI)"	CK408	Physics and Astrophysics	505	530
"University College Cork (NUI)"	CK502	Food Marketing and Entrepreneurship	455	480
"University College Cork (NUI)"	CK504	Nutritional Sciences	505	525
"University College Cork (NUI)"	CK505	Food Science	460	485
"University College Cork (NUI)"	CK506	International Development and Food Policy	360	390
"University College Cork (NUI)"	CK600	Engineering	415	505
"University College Cork (NUI)"	CK606	Architecture - Joint UCC and CIT programme	440	470
"University College Cork (NUI)"	CK701	Medicine (Undergraduate Entry)	#726	733
"University College Cork (NUI)"	CK702	Dentistry	580*	595
"University College Cork (NUI)"	CK703	Pharmacy	555	575
"University College Cork (NUI)"	CK704	Occupational Therapy	535	545
"University College Cork (NUI)"	CK705	Speech and Language Therapy	510	540
"University College Cork (NUI)"	CK706	Public Health	430	455
"University College Cork (NUI)"	CK710	General Nursing	440	460
"University College Cork (NUI)"	CK711	Mature Applicants General Nursing	#178*	184
"University College Cork (NUI)"	CK712	Children`s and General Nursing (Integrated)	505	530
"University College Cork (NUI)"	CK713	Mature Applicants Children`s and General Nursing (Integrated)	#185	195
"University College Cork (NUI)"	CK720	Mental Health Nursing	415*	450
"University College Cork (NUI)"	CK721	Mature Applicants Mental Health Nursing	#170	176
"University College Cork (NUI)"	CK730	Intellectual Disability Nursing	415*	435
"University College Cork (NUI)"	CK731	Mature Applicants Intellectual Disability Nursing	#163	169
"University College Cork (NUI)"	CK740	Midwifery	455*	480
"University College Cork (NUI)"	CK741	Mature Applicants Midwifery	#176*	178
"University College Cork (NUI)"	CK791	Medicine (Graduate Entry)	#56*	57
"American College"	AC120	International Business	270	280
"American College"	AC137	Liberal Arts	280	315
"College of Computer Technology"	CT125	Information Technology	315	315
"Church of Ireland College of Education"	CE001	Education - Primary Teaching	#385	455
"Marino Institute of Education"	CM001	Education - Primary Teaching	465	470
"Marino Institute of Education"	CM002	Education - Primary Teaching - Gaeltacht Applicants	#425	435
"Marino Institute of Education"	CM010	Education Studies	315	365
"Marino Institute of Education"	CM020	Early Childhood Education	310	360
"Dublin Business School & DBS School of Arts"	DB500	Computing	240	290
"Dublin Business School & DBS School of Arts"	DB512	Business Studies	255	315
"Dublin Business School & DBS School of Arts"	DB514	Business Studies (Law)	200	335
"Dublin Business School & DBS School of Arts"	DB515	Business Studies (Human Resource Management)	255	305
"Dublin Business School & DBS School of Arts"	DB516	Financial Services	260	350
"Dublin Business School & DBS School of Arts"	DB517	Marketing (Event Management)	235	315
"Dublin Business School & DBS School of Arts"	DB518	Marketing (Digital Media)	200	320
"Dublin Business School & DBS School of Arts"	DB520	Business Studies (with work placement)	267	360
"Dublin Business School & DBS School of Arts"	DB521	Accounting and Finance	275	355
"Dublin Business School & DBS School of Arts"	DB524	Business Information Systems	385	450
"Dublin Business School & DBS School of Arts"	DB525	Marketing (Digital Media and Cloud Computing)	315	370
"Dublin Business School & DBS School of Arts"	DB526	Business Information Systems (Cloud Computing)	345	345
"Dublin Business School & DBS School of Arts"	DB531	Marketing	280	325
"Dublin Business School & DBS School of Arts"	DB561	Arts (General)	225	305
"Dublin Business School & DBS School of Arts"	DB562	Psychology	230	317
"Dublin Business School & DBS School of Arts"	DB565	Journalism	225	330
"Dublin Business School & DBS School of Arts"	DB566	Social Science	167	310
"Dublin Business School & DBS School of Arts"	DB567	Film	205	335
"Dublin Business School & DBS School of Arts"	DB568	Law	230	330
"Dublin Business School & DBS School of Arts"	DB569	Business (Psychology)	290	350
"Dublin City University"	DC001	Education - Early Childhood Education	380	420
"Dublin City University"	DC002	Education - Primary Teaching	470	490
"Dublin City University"	DC003	Education - Primary Teaching - Gaeltacht Applicants	#430	440
"Dublin City University"	DC009	Joint Honours - Humanities	390	415
"Dublin City University"	DC010	Post Primary Teacher Education - Religious Education and English	380	410
"Dublin City University"	DC011	Post Primary Teacher Education - Religious Education and History	370	420
"Dublin City University"	DC012	Post Primary Teacher Education - Religious Education and Music	#370	400
"Dublin City University"	DC110	Business Studies International	465	480
"Dublin City University"	DC111	Business Studies	465	480
"Dublin City University"	DC112	Global Business (France)	500	530
"Dublin City University"	DC113	Global Business (Germany)	465	500
"Dublin City University"	DC114	Global Business (Spain)	500	530
"Dublin City University"	DC115	Accounting and Finance	475	500
"Dublin City University"	DC116	Global Business (USA)	580	595
"Dublin City University"	DC117	Aviation Management / Aviation Management with Pilot Studies	455	490
"Dublin City University"	DC118	Gnó agus Gaeilge / Business and Irish	340	380
"Dublin City University"	DC119	Global Business (Canada)	570	570
"Dublin City University"	DC120	Enterprise Computing	370	405
"Dublin City University"	DC121	Computer Applications	400	440
"Dublin City University"	DC122	Computational Problem-Solving and Software Development	#	505
"Dublin City University"	DC126	Actuarial Mathematics	535	555
"Dublin City University"	DC127	Actuarial, Financial and Mathematical Sciences (common entry)	500	520
"Dublin City University"	DC131	Communication Studies	420	455
"Dublin City University"	DC132	Journalism	435	475
"Dublin City University"	DC133	Multimedia	445	470
"Dublin City University"	DC155	Applied Language and Translation Studies	375	430
"Dublin City University"	DC161	Analytical Science	460	465
"Dublin City University"	DC162	Chemical and Pharmaceutical Sciences	485	495
"Dublin City University"	DC166	Environmental Science and Health	435	450
"Dublin City University"	DC167	Physics with Astronomy	440	485
"Dublin City University"	DC168	Genetics and Cell Biology	475	490
"Dublin City University"	DC171	Applied Physics	410	450
"Dublin City University"	DC173	Physics with Biomedical Sciences	435	460
"Dublin City University"	DC181	Biotechnology	470	495
"Dublin City University"	DC190	Electronic and Computer Engineering	415	485
"Dublin City University"	DC193	Mechatronic Engineering	400	460
"Dublin City University"	DC195	Mechanical and Manufacturing Engineering	405	450
"Dublin City University"	DC197	Biomedical Engineering	400	460
"Dublin City University"	DC200	Common Entry into Engineering (Undenominated Entry)	390	455
"Dublin City University"	DC201	Common Entry into Science (Undenominated Entry)	470	490
"Dublin City University"	DC202	Sport Science and Health	500	525
"Dublin City University"	DC203	Science Education	435	455
"Dublin City University"	DC204	Athletic Therapy and Training	505	520
"Dublin City University"	DC205	Physical Education with Biology	495	515
"Dublin City University"	DC206	Physical Education with Mathematics	500	515
"Dublin City University"	DC208	Psychology	515	525
"Dublin City University"	DC209	Health and Society	435	450
"Dublin City University"	DC215	General Nursing	430*	450
"Dublin City University"	DC216	Psychiatric Nursing	405	415
"Dublin City University"	DC217	Intellectual Disability Nursing	410	420
"Dublin City University"	DC218	Children`s and General Nursing (Integrated)	490	495
"Dublin City University"	DC225	Mature Applicants General Nursing	#167*	174
"Dublin City University"	DC226	Mature Applicants Psychiatric Nursing	#156*	161
"Dublin City University"	DC227	Mature Applicants Intellectual Disability Nursing	#141	152
"Dublin City University"	DC228	Mature Applicants Children`s and General Nursing (Integrated)	#170	177
"Dublin City University"	DC230	Economics/ Politics and Law	400	425
"Dublin City University"	DC231	International Relations	380	415
"Dublin City University"	DC232	Law and Society (BCL)	435	455
"Dublin City University"	DC235	Education and Training (Daytime or Flexible Learning Mode)	315	345
"Dublin City University"	DC238	Contemporary Culture and Society	330	370
"Dublin City University"	DC239	Gaeilge agus Iriseoireacht/Irish and Journalism	415	475
"Dublin City University"	DC240	Marketing/ Innovation and Technology	470	490
"Dublin City University"	DC291	Joint Honours - Media Studies	395	420
"Dublin City University"	DC292	Joint Honours - Law	395	420
"Dublin City University"	DC293	Joint Honours - International Languages	405	440
"Dublin City University"	DC294	Joint Honours - Gaeilge	385	425
"Dublin City University"	DC295	Joint Honours - Politics	385	405
"Dublin City University"	DC296	Joint Honours - World Cultures	385	390
"Dublin Institute of Technology"	DT001	Product Design	415	445
"Dublin Institute of Technology"	DT021	Electrical/Electronic Engineering  (Common 1st Year)	506	638
