Institution	Code	Course	EOS	Mid
"Athlone Institute of Technology"	AL801	Software Design (Game Development or Cloud Computing)	290	329
"Athlone Institute of Technology"	AL810	Quantity Surveying	311	357
"Athlone Institute of Technology"	AL820	Mechanical and Polymer Engineering	300	336
"Athlone Institute of Technology"	AL830	General Nursing	398*	418
"Athlone Institute of Technology"	AL832	Psychiatric Nursing	378	389
"Athlone Institute of Technology"	AL836	Health Science with Nutrition	346	367
"Athlone Institute of Technology"	AL837	Sports Science with Exercise Physiology	354	379
"Athlone Institute of Technology"	AL838	Biotechnology	270	338
"Athlone Institute of Technology"	AL839	Microbiology	318	371
"Athlone Institute of Technology"	AL840	Pharmaceutical Science	257	302
"Athlone Institute of Technology"	AL841	Athletic and Rehabilitation Therapy	405	429
"Athlone Institute of Technology"	AL842	Bioveterinary Science	301	358
"Athlone Institute of Technology"	AL843	Physical Activity and Health	306	327
"Athlone Institute of Technology"	AL850	Business	296	337
"Athlone Institute of Technology"	AL851	Business and Law	300	357
"Athlone Institute of Technology"	AL852	Accounting (with optional placement)	293	352
"Athlone Institute of Technology"	AL853	Accounting and Law	308	326
"Athlone Institute of Technology"	AL854	Business Psychology	291	347
"Athlone Institute of Technology"	AL860	Social Care Practice	300	338
"Athlone Institute of Technology"	AL861	Animation and Illustration (Portfolio and Interview Required)	#605	860
"Institute of Technology, Carlow"	CW018	Business (Wexford)	255	366
"Institute of Technology, Carlow"	CW028	Early Childhood Education and Care (Wexford)	260	306
"Institute of Technology, Carlow"	CW038	Art (Wexford - Portfolio)	#700	700
"Institute of Technology, Carlow"	CW068	Applied Social Studies - Professional Social Care (Wexford)	270	300
"Institute of Technology, Carlow"	CW078	Sustainable Farm Management and Agribusiness (Wexford)	307	348
"Institute of Technology, Carlow"	CW088	Visual Communications and Design (Wexford)	264	338
"Institute of Technology, Carlow"	CW108	Science	295	357
"Institute of Technology, Carlow"	CW178	Sport Science	400	426
"Institute of Technology, Carlow"	CW188	Sport Rehabilitation and Athletic Therapy	441	464
"Institute of Technology, Carlow"	CW198	Strength and Conditioning	367	397
"Institute of Technology, Carlow"	CW208	Computer Games Development	290	344
"Institute of Technology, Carlow"	CW238	Software Development	290	310
"Institute of Technology, Carlow"	CW248	Information Technology Management	301	352
"Institute of Technology, Carlow"	CW258	Cybercrime and IT Security	309	356
"Institute of Technology, Carlow"	CW438	Construction	261	300
"Institute of Technology, Carlow"	CW468	Architectural Technology	261	310
"Institute of Technology, Carlow"	CW478	Civil Engineering	360	435
"Institute of Technology, Carlow"	CW548	Mechanical Engineering	301	351
"Institute of Technology, Carlow"	CW558	Electronic Systems	302	361
"Institute of Technology, Carlow"	CW568	Aerospace Engineering	365	393
"Institute of Technology, Carlow"	CW578	TV and Media Production	374	393
"Institute of Technology, Carlow"	CW708	Law - LLB	295	326
"Institute of Technology, Carlow"	CW728	Product Design Innovation	309	358
"Institute of Technology, Carlow"	CW748	Early Childhood Education and Care	280	337
"Institute of Technology, Carlow"	CW758	Applied Social Studies - Professional Social Care	290	317
"Institute of Technology, Carlow"	CW788	Youth and Community Work (Interview)	#700	700
