Institution	Code	Course	EOS	Mid
"ATHLONE IT"	AL802	Software Design (Games Development)                         	275	325
"ATHLONE IT"	AL803	Software Design (Cloud Computing)                           	280	345
"ATHLONE IT"	AL830	General Nursing                                             	410*	415
"ATHLONE IT"	AL831	Mature Applicants General Nursing                           	566#	581
"ATHLONE IT"	AL832	Psychiatric Nursing                                         	395	400
"ATHLONE IT"	AL833	Mature Applicants Psychiatric Nursing                       	557#	564
"ATHLONE IT"	AL836	Health Science and Nutrition                                	395	420
"ATHLONE IT"	AL837	Sports Science and Exercise Physiology                      	400*	420
"ATHLONE IT"	AL838	Biotechnology                                               	275	320
"ATHLONE IT"	AL839	Human and Animal Toxicology                                 	275	335
"ATHLONE IT"	AL840	Pharmaceutical Science                                      	270	315
"ATHLONE IT"	AL841	Sports Therapy with Rehabilitation                          	420	450
"ATHLONE IT"	AL850	Business                                                    	285	355
"ATHLONE IT"	AL851	Business and Law                                            	270	335
"ATHLONE IT"	AL852	Accounting                                                  	340	385
"ATHLONE IT"	AL860	Social Care Practice                                        	325	360
"ATHLONE IT"	AL862	Visual Communications                                       	510#	795
"CARLOW COLLEGE"	PC405	Citizenship & Community Studies                             	250	280
"CARLOW COLLEGE"	PC410	Humanities                                                  	250	295
"CARLOW COLLEGE"	PC411	English and History                                         	275	325
"IT CARLOW"	CW018	Business (Wexford)                                          	255	355
"IT CARLOW"	CW028	Early Childhood Education and Care (Wexford)                	275	310
"IT CARLOW"	CW038	Art  (Wexford) - Portfolio                                  	700#	700
"IT CARLOW"	CW068	Applied Social Studies (Professional Social Care - Wexford) 	360	375
"IT CARLOW"	CW088	Visual Communications and Design (Wexford)                  	305	395
"IT CARLOW"	CW108	Biosciences with Bioforensics or Biopharmaceuticals         	300	370
"IT CARLOW"	CW168	Environmental Science                                       	330	365
"IT CARLOW"	CW178	Sport Science                                               	400	425
"IT CARLOW"	CW188	Sports Rehabilitation and Athletic Therapy                  	480	495
"IT CARLOW"	CW198	Strength and Conditioning                                   	405	425
"IT CARLOW"	CW208	Computer Games Development                                  	325	365
"IT CARLOW"	CW238	Software Development                                        	300	330
"IT CARLOW"	CW248	Computing Systems Management                                	300	320
"IT CARLOW"	CW438	Construction - Quantity Surveying                           	235	315
"IT CARLOW"	CW448	Construction - Facilities and Energy Management             	280	330
"IT CARLOW"	CW468	Architectural Technology                                    	260	305
"IT CARLOW"	CW478	Civil Engineering                                           	280	280
"IT CARLOW"	CW548	Mechanical Engineering                                      	290	345
"IT CARLOW"	CW558	Electronic Systems                                          	310	355
"IT CARLOW"	CW568	Aerospace Engineering                                       	370	390
"IT CARLOW"	CW708	Law                                                         	300	350
"IT CARLOW"	CW728	Product Design Innovation                                   	330	335
