Institution	Code	Course	EOS	Mid
"LIMERICK IT"	LC225	Business (Marketing and Management)                         	280	355
"LIMERICK IT"	LC226	Business (Entrepreneurship)                                 	250	295
"LIMERICK IT"	LC231	Business Technology (Information Systems)                   	250	300
"LIMERICK IT"	LC233	Software Development                                        	265	330
"LIMERICK IT"	LC234	Multimedia Programming and Design                           	270	315
"LIMERICK IT"	LC236	Internet Systems Development                                	330	360
"LIMERICK IT"	LC238	Business Technology (Management)                            	310	325
"LIMERICK IT"	LC239	Computer Networks and Systems Management                    	300	340
"LIMERICK IT"	LC241	Construction Management                                     	220	280
"LIMERICK IT"	LC242	Property Valuation and Management                           	225	305
"LIMERICK IT"	LC243	Quantity Surveying                                          	235	320
"LIMERICK IT"	LC252	Civil Engineering Management                                	215	325
"LIMERICK IT"	LC265	Pharmaceutical and Forensic Analysis                        	370	395
"LIMERICK IT"	LC266	Drug and Medicinal Product Analysis                         	275	325
"LIMERICK IT"	LC292	Applied Social Studies (Social Care)                        	340	365
"LIMERICK IT"	LC293	Business Studies with Tourism Management                    	270	325
"LIMERICK IT"	LC294	Business with Event Management                              	280	340
"LIMERICK IT"	LC295	Business with Sports Management                             	285	340
"LIMERICK IT"	LC407	Social and Community Studies (Thurles)                      	210	285
"LIMERICK IT"	LC408	Environmental and Natural Resource Management (Thurles)     	275	320
"LIMERICK IT"	LC410	Accounting and Finance (Thurles)                            	370	370
"LIMERICK IT"	LC413	Business (Thurles)                                          	245	300
"LIMERICK IT"	LC415	Software Design and Development (Thurles)                   	215	310
"LIMERICK IT"	LC418	Computing - Games Design and Development (Thurles)          	260	305
"LIMERICK IT"	LC422	Sports Strength and Conditioning (Thurles)                  	300	350
"LIMERICK IT"	LC513	Business (Clonmel)                                          	310	390
"LIMERICK IT"	LC517	Creative Multimedia (Clonmel)                               	255	335
"LIMERICK IT"	LC518	Digital Animation Production (Clonmel)                      	#710	915
"UNIVERSITY OF LIMERICK"	LM020	Law and Accounting                                          	415	460
"UNIVERSITY OF LIMERICK"	LM022	Politics and International Relations                        	370	405
"UNIVERSITY OF LIMERICK"	LM023	Health Informatics                                          	385	405
"UNIVERSITY OF LIMERICK"	LM029	Law Plus                                                    	425	450
"UNIVERSITY OF LIMERICK"	LM030	Irish Music and Dance                                       	#305	370
"UNIVERSITY OF LIMERICK"	LM031	Voice and Dance                                             	#310	370
"UNIVERSITY OF LIMERICK"	LM032	Arts (Joint Honours)                                        	430	450
"UNIVERSITY OF LIMERICK"	LM033	New Media and English                                       	355	395
"UNIVERSITY OF LIMERICK"	LM035	English and History                                         	325	365
"UNIVERSITY OF LIMERICK"	LM036	Economics and Sociology                                     	325	360
"UNIVERSITY OF LIMERICK"	LM037	Economics and Mathematical Sciences                         	385	420
"UNIVERSITY OF LIMERICK"	LM038	Psychology and Sociology                                    	485	500
"UNIVERSITY OF LIMERICK"	LM039	Journalism and New Media                                    	365	425
"UNIVERSITY OF LIMERICK"	LM040	European Studies                                            	375	430
"UNIVERSITY OF LIMERICK"	LM041	Politics and Public Administration                          	335	360
"UNIVERSITY OF LIMERICK"	LM043	International Insurance and European Studies                	320	365
"UNIVERSITY OF LIMERICK"	LM044	Applied Languages                                           	440	485
"UNIVERSITY OF LIMERICK"	LM045	Language and Literature                                     	340	390
"UNIVERSITY OF LIMERICK"	LM046	History Politics Sociology and Social Studies             	325	350
"UNIVERSITY OF LIMERICK"	LM048	Gaeilge+                                                    	355	410
"UNIVERSITY OF LIMERICK"	LM050	Business Studies                                            	405	435
"UNIVERSITY OF LIMERICK"	LM051	Computer Systems                                            	335	380
"UNIVERSITY OF LIMERICK"	LM052	Business Studies with a Modern Language (French)            	420	460
"UNIVERSITY OF LIMERICK"	LM053	Business Studies with a Modern Language (German)            	420	460
"UNIVERSITY OF LIMERICK"	LM055	Business Studies with a Modern Language (Japanese)          	420	420
"UNIVERSITY OF LIMERICK"	LM056	International Business                                      	470	490
"UNIVERSITY OF LIMERICK"	LM058	Financial Mathematics                                       	435	490
"UNIVERSITY OF LIMERICK"	LM060	Mathematical Sciences                                       	390	440
"UNIVERSITY OF LIMERICK"	LM061	Pharmaceutical and Industrial Chemistry                     	395	455
"UNIVERSITY OF LIMERICK"	LM063	Technology  Management                                      	300	360
